
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-09-11 23:29:26 /login ..................................... ~ 500.42ms
  2026-09-11 23:29:27 /admin/users ................................. ~ 0.02ms
  2026-09-11 23:29:27 /admin/users ................................. ~ 0.01ms
  2026-09-11 23:29:28 /admin/requests/360 .......................... ~ 0.09ms
  2026-09-11 23:29:28 /admin/requests/360/assign ................... ~ 0.02ms
  2026-09-11 23:29:28 /admin/requests/360 .......................... ~ 0.02ms
  2026-09-11 23:29:28 /admin/requests/360 ........................ ~ 500.42ms
  2026-09-11 23:29:28 /login ....................................... ~ 0.02ms
  2026-09-11 23:29:28 /login ..................................... ~ 500.40ms
  2026-09-11 23:29:29 /technician .................................. ~ 0.02ms
  2026-09-11 23:29:29 /technician .................................. ~ 0.01ms
  2026-09-11 23:29:29 /technician/requests/360/status .............. ~ 0.01ms
  2026-09-11 23:29:29 /my-requests/360 ........................... ~ 500.38ms
  2026-09-11 23:29:29 /my-requests/360/review ...................... ~ 0.02ms
  2026-09-11 23:29:30 /admin/reviews ............................. ~ 500.50ms
  2026-09-11 23:29:30 / ............................................ ~ 0.03ms
  2026-09-11 23:29:30 /track ....................................... ~ 0.09ms
  2026-09-11 23:29:31 /my-requests/360/receipt ..................... ~ 0.10ms
  2026-09-11 23:30:05 /register .................................... ~ 0.09ms
  2026-09-11 23:30:05 /register .................................. ~ 500.38ms
  2026-09-11 23:30:05 /request ..................................... ~ 0.02ms
  2026-09-11 23:30:06 /request ..................................... ~ 0.01ms
  2026-09-11 23:30:06 /my-requests ............................... ~ 500.33ms
  2026-09-11 23:30:06 /login ....................................... ~ 0.02ms
  2026-09-11 23:30:06 /login ..................................... ~ 500.33ms
  2026-09-11 23:30:06 /admin/users ................................. ~ 0.02ms
  2026-09-11 23:30:06 /admin/users ................................. ~ 0.02ms
  2026-09-11 23:30:07 /admin/requests/360 .......................... ~ 0.09ms
  2026-09-11 23:30:08 /admin/requests/360/assign ................... ~ 0.02ms
  2026-09-11 23:30:08 /admin/requests/360 ........................ ~ 500.39ms
  2026-09-11 23:30:08 /admin/requests/360 .......................... ~ 0.02ms
  2026-09-11 23:30:08 /login ....................................... ~ 0.01ms
  2026-09-11 23:30:08 /login ..................................... ~ 500.45ms
  2026-09-11 23:30:08 /technician .................................. ~ 0.02ms
  2026-09-11 23:30:08 /technician .................................. ~ 0.01ms
  2026-09-11 23:30:09 /technician/requests/360/status .............. ~ 0.01ms
  2026-09-11 23:30:09 /my-requests/360 ........................... ~ 500.32ms
  2026-09-11 23:30:09 /my-requests/360/review ...................... ~ 0.02ms
  2026-09-11 23:30:09 /admin/reviews ............................. ~ 500.37ms
  2026-09-11 23:30:09 /admin/reviews/1/approve ..................... ~ 0.02ms
  2026-09-11 23:30:10 / ............................................ ~ 0.02ms
  2026-09-11 23:30:10 /track ....................................... ~ 0.13ms
  2026-09-11 23:30:11 /my-requests/360/receipt ..................... ~ 0.11ms
  2026-09-11 23:31:14 / .......................................... ~ 500.36ms
  2026-09-11 23:31:14 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:31:14 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-11 23:31:14 /logo.jpg .................................... ~ 0.26ms
  2026-09-11 23:31:14 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:31:14 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:31:16 /admin ..................................... ~ 500.38ms
  2026-09-11 23:31:16 /login ....................................... ~ 0.02ms
  2026-09-11 23:31:16 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:31:16 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-11 23:31:16 /logo.jpg .................................... ~ 0.25ms
